"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-08","Aug-1983","PC","Percentage","0","Units",,,17.63,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-09","Sep-1983","PC","Percentage","0","Units",,,17.75,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-10","Oct-1983","PC","Percentage","0","Units",,,18.11,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-11","Nov-1983","PC","Percentage","0","Units",,,18.1,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1983-12","Dec-1983","PC","Percentage","0","Units",,,17.23,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-01","Jan-1984","PC","Percentage","0","Units",,,17.19,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-02","Feb-1984","PC","Percentage","0","Units",,,16.88,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-03","Mar-1984","PC","Percentage","0","Units",,,17.27,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-04","Apr-1984","PC","Percentage","0","Units",,,17.55,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-05","May-1984","PC","Percentage","0","Units",,,17.57,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-06","Jun-1984","PC","Percentage","0","Units",,,17.11,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-07","Jul-1984","PC","Percentage","0","Units",,,16.95,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-08","Aug-1984","PC","Percentage","0","Units",,,16.88,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-09","Sep-1984","PC","Percentage","0","Units",,,16.42,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-10","Oct-1984","PC","Percentage","0","Units",,,15.55,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-11","Nov-1984","PC","Percentage","0","Units",,,14.98,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1984-12","Dec-1984","PC","Percentage","0","Units",,,13.92,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-01","Jan-1985","PC","Percentage","0","Units",,,13.2,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-02","Feb-1985","PC","Percentage","0","Units",,,13.22,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-03","Mar-1985","PC","Percentage","0","Units",,,13.46,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-04","Apr-1985","PC","Percentage","0","Units",,,13.4,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-05","May-1985","PC","Percentage","0","Units",,,13.57,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-06","Jun-1985","PC","Percentage","0","Units",,,13.79,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-07","Jul-1985","PC","Percentage","0","Units",,,14.44,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-08","Aug-1985","PC","Percentage","0","Units",,,14.39,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-09","Sep-1985","PC","Percentage","0","Units",,,13.92,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-10","Oct-1985","PC","Percentage","0","Units",,,12.6,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-11","Nov-1985","PC","Percentage","0","Units",,,12.1,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1985-12","Dec-1985","PC","Percentage","0","Units",,,12.32,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-01","Jan-1986","PC","Percentage","0","Units",,,12.34,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-02","Feb-1986","PC","Percentage","0","Units",,,12.36,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-03","Mar-1986","PC","Percentage","0","Units",,,12.24,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-04","Apr-1986","PC","Percentage","0","Units",,,12.06,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-05","May-1986","PC","Percentage","0","Units",,,11.35,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-06","Jun-1986","PC","Percentage","0","Units",,,10.97,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-07","Jul-1986","PC","Percentage","0","Units",,,11.52,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-08","Aug-1986","PC","Percentage","0","Units",,,11.51,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-09","Sep-1986","PC","Percentage","0","Units",,,11.1,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-10","Oct-1986","PC","Percentage","0","Units",,,10.15,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1986-11","Nov-1986","PC","Percentage","0","Units",,,10.29,,
