"COUNTRY:Country"|"SEX:Sex"|"FIELD:Field of education"|"COUNTRY_ORIGIN:Country of origin"|"ISC11_LEVEL:Level of education"|"ISC11P_CAT:Category of education"|"YEAR:Year"|"Unit Code:Unit"|"PowerCode Code:PowerCode"|"Reference Period Code:Reference Period"|"Value"|"Flag Codes:Flags"
"AUT:Austria"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1990.838|
"AUT:Austria"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||5919.519|
"AUT:Austria"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||9291.647|
"AUT:Austria"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||4034.647|
"AUT:Austria"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||4054.038|
"AUT:Austria"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2079.87|
"AUT:Austria"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||6295.557|
"BEL:Belgium"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||48694|
"BEL:Belgium"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||34289|
"BEL:Belgium"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||23253|
"BEL:Belgium"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||72285|
"BEL:Belgium"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||9474|
"BEL:Belgium"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||11699|
"BEL:Belgium"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||32905|
"BEL:Belgium"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1796|
