"COUNTRY:Country"|"SEX:Sex"|"FIELD:Field of education"|"COUNTRY_ORIGIN:Country of origin"|"ISC11_LEVEL:Level of education"|"ISC11P_CAT:Category of education"|"YEAR:Year"|"Unit Code:Unit"|"PowerCode Code:PowerCode"|"Reference Period Code:Reference Period"|"Value"|"Flag Codes:Flags"
"MEX:Mexico"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"|||"x:Data included in another category"
"MEX:Mexico"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"|||"x:Data included in another category"
"MEX:Mexico"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"|||"x:Data included in another category"
"NLD:Netherlands"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||64470|
"NLD:Netherlands"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||48228|
"NLD:Netherlands"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||62655|
"NLD:Netherlands"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||164172|
"NLD:Netherlands"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||24009|
"NLD:Netherlands"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||21015|
"NLD:Netherlands"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||50106|
"NLD:Netherlands"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1449|
"NLD:Netherlands"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||5962|
"NLD:Netherlands"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||9464|
"NLD:Netherlands"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||18067|
"NLD:Netherlands"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1096|
"NLD:Netherlands"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1298|
"NLD:Netherlands"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||3975|
"NZL:New Zealand"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||14267.44|
"NZL:New Zealand"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||22630.906|
"NZL:New Zealand"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||24462.638|
"NZL:New Zealand"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||41797.889|
"NZL:New Zealand"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||18309.614|
"NZL:New Zealand"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||11118.628|
"NZL:New Zealand"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||13567.695|
"NZL:New Zealand"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||978.253|
"NZL:New Zealand"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2510.538|
"NZL:New Zealand"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2790.545|
"NZL:New Zealand"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||11866.595|
"NZL:New Zealand"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2574.218|
"NZL:New Zealand"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||3146.149|
"NZL:New Zealand"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2425.594|
"NOR:Norway"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||33678|
"NOR:Norway"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||21201|
"NOR:Norway"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||19188|
"NOR:Norway"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||39669|
"NOR:Norway"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||8757|
"NOR:Norway"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||8505|
"NOR:Norway"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||12901|
"NOR:Norway"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||267|
"NOR:Norway"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1321|
"NOR:Norway"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||464|
"NOR:Norway"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||770|
"NOR:Norway"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||333|
"NOR:Norway"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||280|
"NOR:Norway"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||285|
"POL:Poland"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||110326|
"POL:Poland"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||92651|
"POL:Poland"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||97463|
"POL:Poland"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||203640|
"POL:Poland"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||42483|
"POL:Poland"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||61873|
"POL:Poland"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||233592|
"POL:Poland"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||946|
"POL:Poland"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||3595|
"POL:Poland"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||8065|
"POL:Poland"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||9302|
"POL:Poland"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||576|
"POL:Poland"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2907|
"POL:Poland"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2793|
"PRT:Portugal"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||4764|
"PRT:Portugal"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||25519|
"PRT:Portugal"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||23217|
"PRT:Portugal"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||53944|
"PRT:Portugal"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||12417|
"PRT:Portugal"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||4042|
"PRT:Portugal"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||30744|
"PRT:Portugal"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||46|
"PRT:Portugal"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||649|
"PRT:Portugal"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||829|
"PRT:Portugal"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2257|
"PRT:Portugal"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||285|
"PRT:Portugal"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||160|
"PRT:Portugal"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1260|
"SVK:Slovak Republic"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||13554|
"SVK:Slovak Republic"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||6626|
"SVK:Slovak Republic"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||11095|
"SVK:Slovak Republic"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||17064|
"SVK:Slovak Republic"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||5684|
"SVK:Slovak Republic"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||4902|
"SVK:Slovak Republic"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||12813|
"SVK:Slovak Republic"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||614|
"SVK:Slovak Republic"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||314|
"SVK:Slovak Republic"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||166|
"SVK:Slovak Republic"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||437|
"SVK:Slovak Republic"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||92|
"SVK:Slovak Republic"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||103|
"SVK:Slovak Republic"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||351|
"ESP:Spain"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||150840|
"ESP:Spain"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||162976|
"ESP:Spain"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||153935|
"ESP:Spain"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||283116|
"ESP:Spain"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||81631|
"ESP:Spain"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||43909|
"ESP:Spain"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||159445|
"ESP:Spain"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||190|
"ESP:Spain"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1944|
"ESP:Spain"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||844|
"ESP:Spain"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2658|
"ESP:Spain"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||233|
"ESP:Spain"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||173|
"ESP:Spain"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||752|
"SWE:Sweden"|"T:Total"|"F01:Education"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||26875|
"SWE:Sweden"|"T:Total"|"F02:Arts and humanities"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||46272|
"SWE:Sweden"|"T:Total"|"F03:Social sciences, journalism and information"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||36459|
"SWE:Sweden"|"T:Total"|"F04:Business, administration and law"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||30880|
"SWE:Sweden"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||15343|
"SWE:Sweden"|"T:Total"|"F06:Information and Communication Technologies"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||11758|
"SWE:Sweden"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W0:World (all entities, including reference area, including IO)"|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||24264|
"SWE:Sweden"|"T:Total"|"F01:Education"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||191|
"SWE:Sweden"|"T:Total"|"F02:Arts and humanities"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||2205|
"SWE:Sweden"|"T:Total"|"F03:Social sciences, journalism and information"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||1022|
"SWE:Sweden"|"T:Total"|"F04:Business, administration and law"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||826|
"SWE:Sweden"|"T:Total"|"F05:Natural sciences, mathematics and statistics"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||549|
"SWE:Sweden"|"T:Total"|"F06:Information and Communication Technologies"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||281|
"SWE:Sweden"|"T:Total"|"F07:Engineering, manufacturing and construction"|"W1:Rest of the World "|"L6:Bachelor’s or equivalent level (ISCED2011 level 6)"|"T:All educational programmes"|"2016:2016"|"PER:Persons"|"0:Units"||382|
