"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,1.523158,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,1.513182,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,1.502727,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,1.908,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,1.883636,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,2.0495,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,2.050952,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,1.918571,,
"IRLT","Long-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,1.915263,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.9808334,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,0.47,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,0.63,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,0.87,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,0.96,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,0.74,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,0.77,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,0.9,,
